tissue,week,mouse,pair,host.cd8.naive,host.cd8.activ,host.cd8.cd69p,donor.cd8.naive,donor.cd8.activ,donor.cd8.cd69p
Pancreas,8,64,32,0.009030232,0.045543777,0.050353357,0.013447193,0.228602277,0.521986651
Pancreas,8,65,33,0.312863348,0.190110257,0.316739058,0.060541263,0.013297695,0.004009355
Pancreas,8,66,33,0.024590164,0.016393443,0.008196721,0.118852459,0.651639344,0.159836066
Blood,4,67,34,0.471056741,0.105413847,0.003331598,0.353097345,0.065226445,0.001717855
Blood,4,68,34,0.389758947,0.07005744,0.00500761,0.46870244,0.066620845,0.004369385
Blood,4,69,35,0.509141735,0.121713509,0.005893019,0.315503173,0.046388637,0.002266546
Blood,4,70,35,0.34207986,0.059587538,0.005792014,0.512417727,0.075296183,0.007634928
Blood,4,71,36,0.458211346,0.082582997,0.005247749,0.390045849,0.057283323,0.00613158
Blood,4,72,36,0.342849146,0.097023976,0.010728613,0.458531579,0.084895979,0.01100849
Pancreas,4,67,34,0.328040948,0.190265054,0.108694943,0.247220683,0.107716885,0.018354905
Pancreas,4,68,34,0.063738157,0.384582257,0.26873385,0.039405685,0.195305771,0.048018949
Pancreas,4,69,35,0.322587829,0.222593397,0.128890374,0.199988865,0.109737765,0.017927732
Pancreas,4,70,35,0.085611295,0.179132873,0.151496946,0.078001402,0.176128968,0.329828777
Pancreas,4,71,36,0.272306797,0.137470518,0.136980427,0.269886973,0.102520905,0.079425368
Pancreas,4,72,36,0.099205731,0.320043607,0.363339044,0.058713596,0.110886155,0.04734465
Blood,0,73,0,0.974,0.0236,0.0018,0,0,0
Blood,0,74,0,0.965,0.0325,0.0015,0,0,0
Blood,0,75,0,0.961,0.0352,0.0023,0,0,0
Blood,0,76,0,0.978,0.0202,0.0015,0,0,0
Blood,0,77,0,0.965,0.0321,0.0017,0,0,0
Blood,0,78,0,0.961,0.0361,0.0022,0,0,0
Blood,0,79,0,0.971,0.0261,0.0021,0,0,0
Blood,0,80,0,0.947,0.0488,0.0036,0,0,0
Pancreas,0,73,0,0.52,0.432,0.0469,0,0,0
Pancreas,0,74,0,0.309,0.616,0.0722,0,0,0
Pancreas,0,75,0,0.327,0.417,0.256,0,0,0
Pancreas,0,76,0,0.495,0.45,0.0541,0,0,0
Pancreas,0,78,0,0.0386,0.878,0.083,0,0,0
Pancreas,0,79,0,0.442,0.435,0.126,0,0,0
Pancreas,0,80,0,0.126,0.615,0.259,0,0,0
Blood,0,81,0,0.545,0.462,0.00061,0,0,0
Blood,0,82,0,0.659,0.343,0.00089,0,0,0
Blood,0,83,0,0.593,0.408,0.0018,0,0,0
Blood,0,84,0,0.624,0.379,0.0014,0,0,0
Blood,0,85,0,0.673,0.33,0.0015,0,0,0
Pancreas,0,81,0,0.597,0.382,0.0219,0,0,0
Pancreas,0,82,0,0.374,0.454,0.174,0,0,0
Pancreas,0,83,0,0.305,0.64,0.0516,0,0,0
Pancreas,0,84,0,0.25,0.778,0,0,0,0
Pancreas,0,85,0,0.402,0.282,0.317,0,0,0
Blood,0,86,0,0.61,0.385,0.0011,0,0,0
Blood,0,87,0,0.616,0.379,0.0016,0,0,0
Blood,0,88,0,0.751,0.244,0.0022,0,0,0
Pancreas,0,86,0,0.745,0.218,0.0341,0,0,0
Pancreas,0,87,0,0.437,0.382,0.18,0,0,0
Pancreas,0,88,0,0.74,0.211,0.0448,0,0,0
Blood,0,89,0,0.573,0.411,0.0018,0,0,0
Blood,0,90,0,0.595,0.39,0.0013,0,0,0
Blood,0,91,0,0.652,0.333,0.0027,0,0,0
Pancreas,0,89,0,0.354,0.424,0.212,0,0,0
Pancreas,0,90,0,0.714,0.263,0.0133,0,0,0
Pancreas,0,91,0,0.592,0.351,0.0483,0,0,0
Blood,0,92,0,0.898,0.104,0.0032,0,0,0
Blood,0,93,0,0.859,0.146,0.0028,0,0,0
Blood,0,94,0,0.9,0.103,0.0024,0,0,0
Blood,0,95,0,0.89,0.111,0.0047,0,0,0
Pancreas,0,92,0,0.605,0.292,0.117,0,0,0
Pancreas,0,93,0,0.41,0.4,0.21,0,0,0
Pancreas,0,94,0,0.359,0.563,0.0974,0,0,0
Pancreas,0,95,0,0.529,0.452,0.0425,0,0,0
