tissue,week,mouse,pair,host.cd8.naive,host.cd8.activ,host.cd8.cd69p,donor.cd8.naive,donor.cd8.activ,donor.cd8.cd69p
Lung,8,65,33,0.057870209,0.073798428,0.784169159,0.009181331,0.000626,0.001460666
Lung,8,66,33,0.058901978,0.002444988,0.000666815,0.442320516,0.297621694,0.183151812
Blood,4,67,34,0.471056741,0.105413847,0.003331598,0.353097345,0.065226445,0.001717855
Blood,4,68,34,0.389758947,0.07005744,0.00500761,0.46870244,0.066620845,0.004369385
Blood,4,69,35,0.509141735,0.121713509,0.005893019,0.315503173,0.046388637,0.002266546
Blood,4,70,35,0.34207986,0.059587538,0.005792014,0.512417727,0.075296183,0.007634928
Blood,4,71,36,0.458211346,0.082582997,0.005247749,0.390045849,0.057283323,0.00613158
Blood,4,72,36,0.342849146,0.097023976,0.010728613,0.458531579,0.084895979,0.01100849
Lung,4,67,34,0.280903666,0.162723785,0.166133845,0.235507246,0.073316283,0.08130861
Lung,4,68,34,0.234036904,0.1477499,0.150272136,0.240939865,0.143767423,0.084561264
Lung,4,69,35,0.264130726,0.187784624,0.252879721,0.168497187,0.043128851,0.083846772
Lung,4,70,35,0.114332049,0.101054125,0.132069734,0.141394689,0.131664302,0.380802757
Lung,4,71,36,0.104534606,0.087350835,0.070405728,0.119331742,0.16849642,0.450357995
Lung,4,72,36,0.094618569,0.125172482,0.361521782,0.112359551,0.141927853,0.164596885
Blood,0,73,0,0.974,0.0236,0.0018,0,0,0
Blood,0,74,0,0.965,0.0325,0.0015,0,0,0
Blood,0,75,0,0.961,0.0352,0.0023,0,0,0
Blood,0,76,0,0.978,0.0202,0.0015,0,0,0
Blood,0,77,0,0.965,0.0321,0.0017,0,0,0
Blood,0,78,0,0.961,0.0361,0.0022,0,0,0
Blood,0,79,0,0.971,0.0261,0.0021,0,0,0
Blood,0,80,0,0.947,0.0488,0.0036,0,0,0
Lung,0,73,0,0.359,0.624,0.0122,0,0,0
Lung,0,74,0,0.366,0.617,0.0142,0,0,0
Lung,0,75,0,0.538,0.44,0.0191,0,0,0
Lung,0,76,0,0.474,0.504,0.0189,0,0,0
Lung,0,77,0,0.325,0.641,0.0309,0,0,0
Lung,0,78,0,0.415,0.556,0.0261,0,0,0
Lung,0,79,0,0.53,0.45,0.0198,0,0,0
Lung,0,80,0,0.439,0.489,0.0715,0,0,0
Blood,0,81,0,0.545,0.462,0.00061,0,0,0
Blood,0,82,0,0.659,0.343,0.00089,0,0,0
Blood,0,83,0,0.593,0.408,0.0018,0,0,0
Blood,0,84,0,0.624,0.379,0.0014,0,0,0
Blood,0,85,0,0.673,0.33,0.0015,0,0,0
Lung,0,81,0,0.793,0.144,0.0627,0,0,0
Lung,0,82,0,0.759,0.179,0.062,0,0,0
Lung,0,83,0,0.919,0.0718,0.0095,0,0,0
Lung,0,84,0,0.816,0.146,0.0365,0,0,0
Lung,0,85,0,0.837,0.127,0.036,0,0,0
Blood,0,86,0,0.61,0.385,0.0011,0,0,0
Blood,0,87,0,0.616,0.379,0.0016,0,0,0
Blood,0,88,0,0.751,0.244,0.0022,0,0,0
Lung,0,88,0,0.836,0.137,0.0272,0,0,0
Lung,0,86,0,0.878,0.0952,0.0267,0,0,0
Lung,0,87,0,0.759,0.115,0.125,0,0,0
Blood,0,89,0,0.573,0.411,0.0018,0,0,0
Blood,0,90,0,0.595,0.39,0.0013,0,0,0
Blood,0,91,0,0.652,0.333,0.0027,0,0,0
Lung,0,89,0,0.822,0.0996,0.0766,0,0,0
Lung,0,90,0,0.86,0.095,0.0439,0,0,0
Lung,0,91,0,0.872,0.114,0.0131,0,0,0
Blood,0,92,0,0.898,0.104,0.0032,0,0,0
Blood,0,93,0,0.859,0.146,0.0028,0,0,0
Blood,0,94,0,0.9,0.103,0.0024,0,0,0
Blood,0,95,0,0.89,0.111,0.0047,0,0,0
Lung,0,92,0,0.764,0.183,0.0532,0,0,0
Lung,0,93,0,0.875,0.0988,0.0291,0,0,0
Lung,0,94,0,0.75,0.192,0.0599,0,0,0
Lung,0,95,0,0.756,0.21,0.0366,0,0,0
