tissue,week,mouse,pair,host.treg.naive,host.treg.activ,host.treg.cd69p,donor.treg.naive,donor.treg.activ,donor.treg.cd69p
Blood,1,46,23,0.191638019,0.463343976,0.001312589,0.127494841,0.216052068,1.58507e-4
Blood,1,47,24,0.204747971,0.427355579,0.004847616,0.140542062,0.221526247,9.80526e-4
Blood,1,48,24,0.150248647,0.468130083,0.002855966,0.11652208,0.261984286,2.58938e-4
Blood,4,49,25,0.286702753,0.313921369,0.003931578,0.187045154,0.202467482,0.005931665
Blood,4,50,25,0.204334534,0.247017748,0.001997938,0.226561591,0.319819388,2.68802e-4
Blood,4,51,26,0.297881188,0.33190641,0.010464361,0.084917521,0.266986444,0.007844076
Blood,4,52,26,0.091228512,0.415879696,0.002191523,0.220527252,0.269862207,3.1081e-4
Brain,1,45,23,0.047254262,0.480579061,0.267613424,0.047251801,0.12580025,0.031501201
Brain,1,46,23,0.072806052,0.472158063,0.176608741,0.020795388,0.254758318,0.002873437
Brain,1,47,24,0.029742539,0.544848837,0.267251803,0.039539205,0.098848013,0.019769603
Brain,1,48,24,0.036175129,0.490948178,0.103357511,0.067185306,0.299279999,0.003053878
Brain,4,49,25,0.010153834,0.257133062,0.456557284,0.006742247,0.107765429,0.161648144
Brain,4,50,25,0.034314642,0.215548813,0.205978993,0.107926735,0.337998099,0.098232717
Brain,4,51,26,0,0.245296026,0.459577612,0.004281473,0.158266863,0.132578025
Brain,4,52,26,0.022088684,0.419416717,0.452505029,0,0.099312105,0.006677464
Blood,2,53,27,0.204432534,0.476553433,0.001572558,0.153528789,0.163403047,5.09639e-4
Blood,2,54,27,0.137785763,0.427021992,0.001480343,0.147063883,0.286272723,3.75297e-4
Blood,2,55,28,0.291618405,0.304141894,5.42685e-4,0.211856191,0.189661733,0.002179092
Blood,2,56,28,0.16196181,0.278538716,0.00160182,0.254440696,0.303199155,2.57803e-4
Blood,2,57,29,0.265123537,0.584982257,0.003591996,0.102235279,0.044066931,0
Blood,2,58,29,0.108365223,0.347884923,0.007534406,0.130784255,0.404193316,0.001237876
Brain,2,53,27,0.007351355,0.477838051,0.426378569,0.007364178,0.066304128,0.014763719
Brain,2,54,27,0.077659734,0.498093468,0.093727266,0.046688825,0.264445507,0.019385199999999998
Brain,2,55,28,0.03127835,0.362764367,0.393397803,0.012500998,0.093757482,0.106301
Brain,2,56,28,0.135090904,0.367301216,0.223447658,0.046550596,0.218429718,0.009179908
Brain,2,57,29,0,0.442590407,0.52545425,0.006391069,0.012782137,0.012782137
Brain,2,58,29,0.055939287,0.383384522,0.431307588,0.008009448,0.096113375,0.02524578
Blood,1,59,30,0.458137409,0.214246612,0.001684329,0.264057449,0.060635414,0.001238788
Blood,1,60,30,0.306775675,0.243323872,0.001655264,0.28153780900000003,0.166486301,2.21079e-4
Blood,1,61,31,0.289950692,0.245839455,0.002474533,0.258852318,0.201637189,0.001245813
Blood,1,62,31,0.278848794,0.374641556,0.00223079,0.217777872,0.126318068,1.8292e-4
Blood,8,63,32,0.404480416,0.424454758,0.002996151,0.10655554,0.061513135,0
Blood,8,64,32,0.08135392,0.143969016,0.00329072,0.173074912,0.597612923,6.98509e-4
Blood,8,65,33,0.413845155,0.459341874,0.001749874,0.115968282,0.009094816,0
Blood,8,66,33,0.100710203,0.005168443,4.25386e-4,0.502206913,0.390506087,9.82967e-4
Brain,1,59,30,0.037664779,0.320659602,0.490320767,0.018919357,0.05675807,0.075677427
Brain,1,60,30,0.047004113,0.344989348,0.14863611,0.039085905,0.359767993,0.06051653
Brain,1,62,31,0.090255276,0.307497626,0.108621175,0.10894612,0.344732892,0.039946911
Brain,8,63,32,0.06840838,0.498315871,0.30462419,0.008583634,0.080045283,0.040022642
Brain,8,64,32,0.020003624,0.141976941,0.325912702,0.027319501,0.395061418,0.089725814
Brain,8,65,33,0.061399893999999997,0.31775423,0.595422543,0.016465361,0.004478985,0.004478985
Brain,8,66,33,0.008976905,0.008976905,0.004488452,0.071909898,0.58361656,0.32203128
Blood,4,67,34,0.438858047,0.261326474,0.009302654,0.191601232,0.095945989,0.002965603
Blood,4,68,34,0.176815658,0.202355698,0.013988083,0.333626135,0.271728893,0.001485534
Blood,4,69,35,0.386415768,0.343315548,0.013450241,0.154620165,0.096830236,0.005368042
Blood,4,70,35,0.241430058,0.159843348,0.014943688,0.329185222,0.252990451,0.001607233
Blood,4,71,36,0.38378547,0.160654383,0.012941603,0.327636014,0.082794506,0.032188025
