tissue,week,mouse,pair,host.treg.naive,host.treg.activ,host.treg.cd69p,donor.treg.naive,donor.treg.activ,donor.treg.cd69p
IEL,2,57,29,0.0081,0.0646,0.867,0.0202,0.0141,0.0283
IEL,2,58,29,0.019,0.0857,0.781,0.0095,0.0381,0.0667
Blood,1,59,30,0.458137409,0.214246612,0.001684329,0.264057449,0.060635414,0.001238788
Blood,1,60,30,0.306775675,0.243323872,0.001655264,0.28153780900000003,0.166486301,2.21079e-4
Blood,1,61,31,0.289950692,0.245839455,0.002474533,0.258852318,0.201637189,0.001245813
Blood,1,62,31,0.278848794,0.374641556,0.00223079,0.217777872,0.126318068,1.8292e-4
Blood,8,63,32,0.404480416,0.424454758,0.002996151,0.10655554,0.061513135,0
Blood,8,64,32,0.08135392,0.143969016,0.00329072,0.173074912,0.597612923,6.98509e-4
Blood,8,65,33,0.413845155,0.459341874,0.001749874,0.115968282,0.009094816,0
Blood,8,66,33,0.100710203,0.005168443,4.25386e-4,0.502206913,0.390506087,9.82967e-4
IEL,1,59,30,0.0025,0.0319,0.952,0.0016,0.0057,0.0049
IEL,1,60,30,0.0061,0.0579,0.902,0,0.0213,0.0122
IEL,1,61,31,0.0042,0.0416,0.915,0.0062,0.0187,0.0166
IEL,1,62,31,0,0.0335,0.958,0,0.0084,0
IEL,8,63,32,0,0.0355,0.859,0,0.0063,0.099
IEL,8,64,32,0.0038,0.0152,0.278,0.0095,0.0629,0.629
IEL,8,65,33,0.0058,0.0576,0.798,0,0.0086,0.13
IEL,8,66,33,0,0.0025,0.0025,0.0076,0.0609,0.926
Blood,4,67,34,0.438858047,0.261326474,0.009302654,0.191601232,0.095945989,0.002965603
Blood,4,68,34,0.176815658,0.202355698,0.013988083,0.333626135,0.271728893,0.001485534
Blood,4,69,35,0.386415768,0.343315548,0.013450241,0.154620165,0.096830236,0.005368042
Blood,4,70,35,0.241430058,0.159843348,0.014943688,0.329185222,0.252990451,0.001607233
Blood,4,71,36,0.38378547,0.160654383,0.012941603,0.327636014,0.082794506,0.032188025
Blood,4,72,36,0.212506577,0.215790343,0.040577967,0.247786564,0.272924332,0.010414218
IEL,4,67,34,0.0047,0.0684,0.855,0.0024,0.0118,0.0578
IEL,4,68,34,0.0086,0.0722,0.703,0.0086,0.067,0.141
IEL,4,69,35,7.5e-4,0.0574,0.902,0.0022,0.0037,0.0343
IEL,4,70,35,7.5e-4,0.0217,0.556,0.0015,0.0388,0.381
IEL,4,71,36,0.0016,0.0472,0.808,0.0031,0.0126,0.127
IEL,4,72,36,0,0.0447,0.76,0,0.0391,0.14
Blood,0,81,0,0.674521497,0.324986162,4.92341e-4,0,0,0
Blood,0,82,0,0.71932119,0.280037009,6.41801e-4,0,0,0
Blood,0,83,0,0.70581176,0.29092595,0.003262289,0,0,0
Blood,0,84,0,0.665994652,0.334005348,0,0,0,0
Blood,0,85,0,0.71520994,0.28479006,0,0,0,0
IEL,0,81,0,0.0081,0.065,0.935,0,0,0
IEL,0,82,0,0.0517,0.0862,0.862,0,0,0
IEL,0,86,0,0.0077,0.0475,0.945,0,0,0
IEL,0,87,0,0.0135,0.024,0.963,0,0,0
IEL,0,88,0,0.0113,0.0378,0.951,0,0,0
Blood,0,86,0,0.434,0.561,0.0029,0,0,0
Blood,0,87,0,0.448,0.547,0.0016,0,0,0
Blood,0,88,0,0.509,0.477,0.0085,0,0,0
Blood,0,89,0,0.403,0.581,0.0074,0,0,0
Blood,0,90,0,0.384,0.603,0.0072,0,0,0
Blood,0,91,0,0.661,0.327,0.0048,0,0,0
Blood,0,92,0,0.595,0.408,0.0064,0,0,0
Blood,0,93,0,0.68,0.33,0.001,0,0,0
Blood,0,94,0,0.671,0.339,0.0038,0,0,0
Blood,0,95,0,0.841,0.17,0.0051,0,0,0
IEL,0,93,0,0.0533,0.08,0.867,0,0,0
