tissue,week,mouse,pair,host.cd8.naive,host.cd8.activ,host.cd8.cd69p,donor.cd8.naive,donor.cd8.activ,donor.cd8.cd69p
MLN,8,65,33,0.695244234,0.081005587,0.061309268,0.145215585,0.004834551,0.007484601
MLN,8,66,33,0.113765643,0.010908118,0.008833568,0.61774744,0.144348524,0.104062103
Blood,4,67,34,0.471056741,0.105413847,0.003331598,0.353097345,0.065226445,0.001717855
Blood,4,68,34,0.389758947,0.07005744,0.00500761,0.46870244,0.066620845,0.004369385
Blood,4,69,35,0.509141735,0.121713509,0.005893019,0.315503173,0.046388637,0.002266546
Blood,4,70,35,0.34207986,0.059587538,0.005792014,0.512417727,0.075296183,0.007634928
Blood,4,71,36,0.458211346,0.082582997,0.005247749,0.390045849,0.057283323,0.00613158
Blood,4,72,36,0.342849146,0.097023976,0.010728613,0.458531579,0.084895979,0.01100849
MLN,4,67,34,0.441602274,0.068123279,0.052224887,0.377475797,0.038369305,0.02584599
MLN,4,68,34,0.360753221,0.058203442,0.040363997,0.405171637,0.089197225,0.050364898
MLN,4,69,35,0.48424804,0.07911618,0.069850321,0.297220242,0.045188881,0.027512473
MLN,4,70,35,0.288565824,0.059536172,0.032998731,0.442367601,0.119072343,0.060343833
MLN,4,71,36,0.415201544,0.073756432,0.052208405,0.371033448,0.04556175,0.044596913
MLN,4,72,36,0.335087894,0.0930579,0.049855994,0.353461118,0.124242725,0.044195054
Blood,0,73,0,0.974,0.0236,0.0018,0,0,0
Blood,0,74,0,0.965,0.0325,0.0015,0,0,0
Blood,0,75,0,0.961,0.0352,0.0023,0,0,0
Blood,0,76,0,0.978,0.0202,0.0015,0,0,0
Blood,0,77,0,0.965,0.0321,0.0017,0,0,0
Blood,0,78,0,0.961,0.0361,0.0022,0,0,0
Blood,0,79,0,0.971,0.0261,0.0021,0,0,0
Blood,0,80,0,0.947,0.0488,0.0036,0,0,0
MLN,0,73,0,0.19,0.748,0.0595,0,0,0
MLN,0,74,0,0.237,0.692,0.0685,0,0,0
MLN,0,75,0,0.289,0.635,0.0702,0,0,0
MLN,0,76,0,0.306,0.63,0.0592,0,0,0
MLN,0,77,0,0.328,0.599,0.0684,0,0,0
MLN,0,78,0,0.334,0.577,0.0852,0,0,0
MLN,0,79,0,0.394,0.519,0.0851,0,0,0
MLN,0,80,0,0.39,0.537,0.0694,0,0,0
Blood,0,81,0,0.545,0.462,0.00061,0,0,0
Blood,0,82,0,0.659,0.343,0.00089,0,0,0
Blood,0,83,0,0.593,0.408,0.0018,0,0,0
Blood,0,84,0,0.624,0.379,0.0014,0,0,0
Blood,0,85,0,0.673,0.33,0.0015,0,0,0
MLN,0,81,0,0.799,0.172,0.0402,0,0,0
MLN,0,82,0,0.733,0.198,0.0785,0,0,0
MLN,0,83,0,0.818,0.129,0.059,0,0,0
MLN,0,84,0,0.768,0.187,0.0485,0,0,0
MLN,0,85,0,0.745,0.197,0.0646,0,0,0
Blood,0,86,0,0.61,0.385,0.0011,0,0,0
Blood,0,87,0,0.616,0.379,0.0016,0,0,0
Blood,0,88,0,0.751,0.244,0.0022,0,0,0
MLN,0,86,0,0.927,0.0237,0.0498,0,0,0
MLN,0,87,0,0.921,0.0221,0.0581,0,0,0
MLN,0,88,0,0.923,0.0257,0.0515,0,0,0
Blood,0,89,0,0.573,0.411,0.0018,0,0,0
Blood,0,90,0,0.595,0.39,0.0013,0,0,0
Blood,0,91,0,0.652,0.333,0.0027,0,0,0
MLN,0,89,0,0.882,0.0532,0.0635,0,0,0
MLN,0,90,0,0.877,0.05,0.0711,0,0,0
MLN,0,91,0,0.88,0.0562,0.0621,0,0,0
Blood,0,92,0,0.898,0.104,0.0032,0,0,0
Blood,0,93,0,0.859,0.146,0.0028,0,0,0
Blood,0,94,0,0.9,0.103,0.0024,0,0,0
Blood,0,95,0,0.89,0.111,0.0047,0,0,0
MLN,0,92,0,0.931,0.0088,0.0632,0,0,0
MLN,0,93,0,0.932,0.0048,0.0654,0,0,0
MLN,0,94,0,0.931,0.0128,0.0596,0,0,0
MLN,0,95,0,0.918,0.0153,0.0699,0,0,0
