tissue,week,mouse,pair,host.cd8.naive,host.cd8.activ,host.cd8.cd69p,donor.cd8.naive,donor.cd8.activ,donor.cd8.cd69p
Skin,8,66,33,0.01714876,0.002272727,0.000413223,0.125619835,0.122520661,0.68946281
Blood,4,67,34,0.471056741,0.105413847,0.003331598,0.353097345,0.065226445,0.001717855
Blood,4,68,34,0.389758947,0.07005744,0.00500761,0.46870244,0.066620845,0.004369385
Blood,4,69,35,0.509141735,0.121713509,0.005893019,0.315503173,0.046388637,0.002266546
Blood,4,70,35,0.34207986,0.059587538,0.005792014,0.512417727,0.075296183,0.007634928
Blood,4,71,36,0.458211346,0.082582997,0.005247749,0.390045849,0.057283323,0.00613158
Blood,4,72,36,0.342849146,0.097023976,0.010728613,0.458531579,0.084895979,0.01100849
Skin,4,67,34,0.0875513,0.213953488,0.482079343,0.05499316,0.059644323,0.101778386
Skin,4,68,34,0.030416427,0.130972942,0.609959701,0.022164652,0.071291499,0.136538092
Skin,4,69,35,0.046878917,0.109049887,0.591626974,0.02214423,0.049469374,0.182167628
Skin,4,70,35,0.085629188,0.114916853,0.202779846,0.085132787,0.15909655,0.351948374
Skin,4,71,36,0.065153971,0.116045381,0.389303079,0.048622366,0.082982172,0.297568882
Skin,4,72,36,0.030832477,0.179856115,0.530832477,0.017471737,0.08684481,0.154162384
Skin,0,73,0,0.513,0.329,0.151,0,0,0
Skin,0,74,0,0.493,0.368,0.135,0,0,0
Skin,0,75,0,0.191,0.303,0.506,0,0,0
Skin,0,76,0,0.105,0.5,0.395,0,0,0
Skin,0,77,0,0.364,0.281,0.355,0,0,0
Skin,0,78,0,0.51,0.376,0.108,0,0,0
Skin,0,79,0,0.279,0.585,0.12,0,0,0
Skin,0,80,0,0.131,0.6,0.269,0,0,0
Blood,0,73,0,0.974,0.0236,0.0018,0,0,0
Blood,0,74,0,0.965,0.0325,0.0015,0,0,0
Blood,0,75,0,0.961,0.0352,0.0023,0,0,0
Blood,0,76,0,0.978,0.0202,0.0015,0,0,0
Blood,0,77,0,0.965,0.0321,0.0017,0,0,0
Blood,0,78,0,0.961,0.0361,0.0022,0,0,0
Blood,0,79,0,0.971,0.0261,0.0021,0,0,0
Blood,0,80,0,0.947,0.0488,0.0036,0,0,0
Blood,0,81,0,0.545,0.462,0.00061,0,0,0
Blood,0,82,0,0.659,0.343,0.00089,0,0,0
Blood,0,83,0,0.593,0.408,0.0018,0,0,0
Blood,0,84,0,0.624,0.379,0.0014,0,0,0
Blood,0,85,0,0.673,0.33,0.0015,0,0,0
Skin,0,81,0,0.697,0.152,0.152,0,0,0
Skin,0,82,0,0.216,0.514,0.243,0,0,0
Skin,0,83,0,0.695,0.24,0.0649,0,0,0
Skin,0,84,0,0.348,0.516,0.137,0,0,0
Skin,0,85,0,0.363,0.416,0.221,0,0,0
Blood,0,86,0,0.61,0.385,0.0011,0,0,0
Blood,0,87,0,0.616,0.379,0.0016,0,0,0
Blood,0,88,0,0.751,0.244,0.0022,0,0,0
Skin,0,86,0,0.532,0.329,0.139,0,0,0
Skin,0,87,0,0.501,0.3,0.198,0,0,0
Skin,0,88,0,0.783,0.148,0.0648,0,0,0
Blood,0,89,0,0.573,0.411,0.0018,0,0,0
Blood,0,90,0,0.595,0.39,0.0013,0,0,0
Blood,0,91,0,0.652,0.333,0.0027,0,0,0
Skin,0,89,0,0.595,0.321,0.0833,0,0,0
Skin,0,91,0,0.771,0.143,0.0857,0,0,0
Blood,0,92,0,0.898,0.104,0.0032,0,0,0
Blood,0,93,0,0.859,0.146,0.0028,0,0,0
Blood,0,94,0,0.9,0.103,0.0024,0,0,0
Blood,0,95,0,0.89,0.111,0.0047,0,0,0
Skin,0,92,0,0.657,0.228,0.123,0,0,0
Skin,0,93,0,0.584,0.226,0.204,0,0,0
Skin,0,94,0,0.495,0.294,0.219,0,0,0
Skin,0,95,0,0.295,0.337,0.386,0,0,0
