tissue,week,mouse,pair,host.cd8.naive,host.cd8.activ,host.cd8.cd69p,donor.cd8.naive,donor.cd8.activ,donor.cd8.cd69p
FRT,8,66,33,0.006745363,0.002623197,0.001124227,0.071763163,0.197863969,0.671538317
Blood,4,67,34,0.471056741,0.105413847,0.003331598,0.353097345,0.065226445,0.001717855
Blood,4,68,34,0.389758947,0.07005744,0.00500761,0.46870244,0.066620845,0.004369385
Blood,4,69,35,0.509141735,0.121713509,0.005893019,0.315503173,0.046388637,0.002266546
Blood,4,70,35,0.34207986,0.059587538,0.005792014,0.512417727,0.075296183,0.007634928
Blood,4,71,36,0.458211346,0.082582997,0.005247749,0.390045849,0.057283323,0.00613158
Blood,4,72,36,0.342849146,0.097023976,0.010728613,0.458531579,0.084895979,0.01100849
FRT,4,67,34,0.050285714,0.386285714,0.481142857,0.025142857,0.033142857,0.022857143
FRT,4,68,34,0.034076828,0.262701363,0.527261462,0.016109046,0.102850062,0.05638166
FRT,4,69,35,0.038149351,0.184253247,0.693722944,0.016233766,0.014339827,0.054924242
FRT,4,70,35,0.030800821,0.223819302,0.497604381,0.022587269,0.109514031,0.11430527
FRT,4,71,36,0.011946525,0.106001707,0.380202901,0.009955438,0.104958756,0.387598369
FRT,4,72,36,0.038156736,0.255063105,0.533607279,0.013501614,0.098620487,0.061931318
Blood,0,73,0,0.974,0.0236,0.0018,0,0,0
Blood,0,74,0,0.965,0.0325,0.0015,0,0,0
Blood,0,75,0,0.961,0.0352,0.0023,0,0,0
Blood,0,76,0,0.978,0.0202,0.0015,0,0,0
Blood,0,77,0,0.965,0.0321,0.0017,0,0,0
Blood,0,78,0,0.961,0.0361,0.0022,0,0,0
Blood,0,79,0,0.971,0.0261,0.0021,0,0,0
Blood,0,80,0,0.947,0.0488,0.0036,0,0,0
Blood,0,81,0,0.545,0.462,0.00061,0,0,0
Blood,0,82,0,0.659,0.343,0.00089,0,0,0
Blood,0,83,0,0.593,0.408,0.0018,0,0,0
Blood,0,84,0,0.624,0.379,0.0014,0,0,0
Blood,0,85,0,0.673,0.33,0.0015,0,0,0
Blood,0,86,0,0.61,0.385,0.0011,0,0,0
Blood,0,87,0,0.616,0.379,0.0016,0,0,0
Blood,0,88,0,0.751,0.244,0.0022,0,0,0
FRT,0,86,0,0.307,0.315,0.38,0,0,0
FRT,0,87,0,0.481,0.324,0.195,0,0,0
FRT,0,88,0,0.36,0.258,0.387,0,0,0
Blood,0,89,0,0.573,0.411,0.0018,0,0,0
Blood,0,90,0,0.595,0.39,0.0013,0,0,0
Blood,0,91,0,0.652,0.333,0.0027,0,0,0
FRT,0,89,0,0.43,0.32,0.246,0,0,0
FRT,0,90,0,0.415,0.392,0.185,0,0,0
FRT,0,91,0,0.233,0.304,0.458,0,0,0
Blood,0,92,0,0.898,0.104,0.0032,0,0,0
Blood,0,93,0,0.859,0.146,0.0028,0,0,0
Blood,0,94,0,0.9,0.103,0.0024,0,0,0
Blood,0,95,0,0.89,0.111,0.0047,0,0,0
FRT,0,92,0,0.185,0.369,0.446,0,0,0
FRT,0,93,0,0.392,0.431,0.185,0,0,0
FRT,0,94,0,0.167,0.349,0.505,0,0,0
FRT,0,95,0,0.316,0.434,0.268,0,0,0
