tissue,week,mouse,pair,host.cd8.naive,host.cd8.activ,host.cd8.cd69p,donor.cd8.naive,donor.cd8.activ,donor.cd8.cd69p
Muscle,8,66,33,0.10673847,0.018227009,0.010494339,0.598591549,0.162938415,0.109500138
Blood,4,67,34,0.471056741,0.105413847,0.003331598,0.353097345,0.065226445,0.001717855
Blood,4,68,34,0.389758947,0.07005744,0.00500761,0.46870244,0.066620845,0.004369385
Blood,4,69,35,0.509141735,0.121713509,0.005893019,0.315503173,0.046388637,0.002266546
Blood,4,70,35,0.34207986,0.059587538,0.005792014,0.512417727,0.075296183,0.007634928
Blood,4,71,36,0.458211346,0.082582997,0.005247749,0.390045849,0.057283323,0.00613158
Blood,4,72,36,0.342849146,0.097023976,0.010728613,0.458531579,0.084895979,0.01100849
Muscle,4,67,34,0.178454842,0.209648168,0.279289082,0.169387015,0.099383388,0.065288357
Muscle,4,68,34,0.104861773,0.273593899,0.244995234,0.102955195,0.181124881,0.097235462
Muscle,4,69,35,0.057018903,0.182832352,0.603036876,0.038425782,0.034397273,0.083669042
Muscle,4,70,35,0.176925456,0.108877204,0.099907207,0.202288896,0.150324776,0.266625425
Muscle,4,71,36,0.07729734,0.220513223,0.247351487,0.074236836,0.157262811,0.223259829
Muscle,4,72,36,0.147257701,0.20661157,0.366641623,0.145755071,0.096919609,0.038317055
Muscle,0,73,0,0.692,0.266,0.04,0,0,0
Muscle,0,74,0,0.627,0.296,0.0762,0,0,0
Muscle,0,75,0,0.346,0.584,0.0678,0,0,0
Muscle,0,76,0,0.335,0.574,0.0905,0,0,0
Muscle,0,77,0,0.362,0.58,0.0551,0,0,0
Muscle,0,78,0,0.584,0.349,0.0658,0,0,0
Muscle,0,79,0,0.601,0.317,0.0781,0,0,0
Muscle,0,80,0,0.345,0.581,0.0728,0,0,0
Blood,0,73,0,0.974,0.0236,0.0018,0,0,0
Blood,0,74,0,0.965,0.0325,0.0015,0,0,0
Blood,0,75,0,0.961,0.0352,0.0023,0,0,0
Blood,0,76,0,0.978,0.0202,0.0015,0,0,0
Blood,0,77,0,0.965,0.0321,0.0017,0,0,0
Blood,0,78,0,0.961,0.0361,0.0022,0,0,0
Blood,0,79,0,0.971,0.0261,0.0021,0,0,0
Blood,0,80,0,0.947,0.0488,0.0036,0,0,0
Blood,0,81,0,0.545,0.462,0.00061,0,0,0
Blood,0,82,0,0.659,0.343,0.00089,0,0,0
Blood,0,83,0,0.593,0.408,0.0018,0,0,0
Blood,0,84,0,0.624,0.379,0.0014,0,0,0
Blood,0,85,0,0.673,0.33,0.0015,0,0,0
