tissue,week,mouse,pair,host.nk.naive,host.nk.activ,host.nk.cd69p,donor.nk.naive,donor.nk.activ,donor.nk.cd69p
MLN,1,59,30,0.226744186,0.372093023,0.23255814,0.104651163,0.046511628,0.011627907
MLN,1,60,30,0.298429319,0.497382199,0.204188482,0.02617801,0.005235602,0.005235602
MLN,1,61,31,0.242857143,0.371428571,0.171428571,0.2,0.057142857,0.014285714
MLN,1,62,31,0.242105263,0.542105263,0.121052632,0.052631579,0.073684211,0.005263158
MLN,8,63,32,0.184079602,0.422885572,0.218905473,0.124378109,0.059701493,0.024875622
MLN,8,64,32,0.203463203,0.251082251,0.103896104,0.181818182,0.242424242,0.064935065
MLN,8,65,33,0.286809816,0.446319018,0.067484663,0.059815951,0.136503067,0.042944785
MLN,8,66,33,0.013986014,0.013986014,0.006993007,0.272727273,0.454545455,0.258741259
Blood,4,67,34,0.331364829,0.103237095,0.030621172,0.461067367,0.045275591,0.026902887
Blood,4,68,34,0.471271394,0.064995925,0.045028525,0.306642217,0.082518337,0.028117359
Blood,4,69,35,0.471830986,0.112676056,0.027464789,0.339612676,0.026056338,0.021126761
Blood,4,70,35,0.388844622,0.027888446,0.042549801,0.412270916,0.089243028,0.037609562
Blood,4,71,36,0.298403886,0.095998149,0.02752718,0.488086977,0.05759889,0.03030303
Blood,4,72,36,0.492395437,0.066539924,0.026344378,0.309342749,0.085822922,0.017925041
MLN,4,67,34,0.256756757,0.283783784,0.202702703,0.162162162,0.067567568,0.027027027
MLN,4,68,34,0.347222222,0.194444444,0.277777778,0.097222222,0.027777778,0.027777778
MLN,4,69,35,0.14516129,0.483870968,0.193548387,0.14516129,0,0.032258065
MLN,4,70,35,0.27184466,0.233009709,0.300970874,0.097087379,0.029126214,0.077669903
MLN,4,71,36,0.18,0.2,0.12,0.4,0.02,0.1
MLN,4,72,36,0.4,0.2,0.314285714,0.038095238,0.028571429,0.028571429
Blood,0,73,0,0.8,0.0963,0.0997,0,0,0
Blood,0,74,0,0.781,0.128,0.0882,0,0,0
Blood,0,75,0,0.781,0.125,0.0899,0,0,0
Blood,0,76,0,0.809,0.0816,0.102,0,0,0
Blood,0,77,0,0.817,0.0972,0.0842,0,0,0
Blood,0,78,0,0.722,0.199,0.0632,0,0,0
Blood,0,79,0,0.845,0.0773,0.0762,0,0,0
Blood,0,80,0,0.665,0.216,0.11,0,0,0
MLN,0,73,0,0.231,0.568,0.198,0,0,0
MLN,0,74,0,0.381,0.341,0.278,0,0,0
MLN,0,75,0,0.424,0.196,0.38,0,0,0
MLN,0,76,0,0.444,0.181,0.375,0,0,0
MLN,0,77,0,0.269,0.336,0.395,0,0,0
MLN,0,78,0,0.213,0.295,0.484,0,0,0
MLN,0,79,0,0.368,0.222,0.41,0,0,0
MLN,0,80,0,0.176,0.374,0.451,0,0,0
