tissue,week,mouse,pair,host.nk.naive,host.nk.activ,host.nk.cd69p,donor.nk.naive,donor.nk.activ,donor.nk.cd69p
Kidney,1,61,31,0.181818182,0.300395257,0.086956522,0.351778656,0.071146245,0.011857708
Kidney,1,62,31,0.435612083,0.321144674,0.089030207,0.090620032,0.063593005,0.004769475
Kidney,8,63,32,0.308252427,0.32038835,0.089805825,0.225728155,0.046116505,0.007281553
Kidney,8,64,32,0.225433526,0.148362235,0.184971098,0.192678227,0.183044316,0.057803468
Kidney,8,65,33,0.298642534,0.171945701,0.25,0.040723982,0.164027149,0.069004525
Kidney,8,66,33,0.050373134,0.020522388,0,0.348880597,0.38619403,0.190298507
Blood,4,67,34,0.331364829,0.103237095,0.030621172,0.461067367,0.045275591,0.026902887
Blood,4,68,34,0.471271394,0.064995925,0.045028525,0.306642217,0.082518337,0.028117359
Blood,4,69,35,0.471830986,0.112676056,0.027464789,0.339612676,0.026056338,0.021126761
Blood,4,70,35,0.388844622,0.027888446,0.042549801,0.412270916,0.089243028,0.037609562
Blood,4,71,36,0.298403886,0.095998149,0.02752718,0.488086977,0.05759889,0.03030303
Blood,4,72,36,0.492395437,0.066539924,0.026344378,0.309342749,0.085822922,0.017925041
Kidney,4,67,34,0.084555651,0.356341674,0.364969802,0.134598792,0.038826575,0.019844694
Kidney,4,68,34,0.186378279,0.237919926,0.362172112,0.118729867,0.065347446,0.027611597
Kidney,4,69,35,0.172523962,0.301118211,0.321884984,0.153354633,0.025559105,0.018370607
Kidney,4,70,35,0.202562839,0.164120256,0.296697881,0.185312962,0.110152785,0.038442583
Kidney,4,71,36,0.044781261,0.304857044,0.526696521,0.072683431,0.02790217,0.020323803
Kidney,4,72,36,0.148286604,0.37694704,0.330218069,0.079750779,0.042990654,0.018068536
Blood,0,73,0,0.8,0.0963,0.0997,0,0,0
Blood,0,74,0,0.781,0.128,0.0882,0,0,0
Blood,0,75,0,0.781,0.125,0.0899,0,0,0
Blood,0,76,0,0.809,0.0816,0.102,0,0,0
Blood,0,77,0,0.817,0.0972,0.0842,0,0,0
Blood,0,78,0,0.722,0.199,0.0632,0,0,0
Blood,0,79,0,0.845,0.0773,0.0762,0,0,0
Blood,0,80,0,0.665,0.216,0.11,0,0,0
Kidney,0,73,0,0.491,0.293,0.215,0,0,0
Kidney,0,74,0,0.447,0.329,0.218,0,0,0
Kidney,0,75,0,0.414,0.362,0.222,0,0,0
Kidney,0,76,0,0.317,0.418,0.262,0,0,0
Kidney,0,77,0,0.282,0.43,0.286,0,0,0
Kidney,0,78,0,0.237,0.465,0.297,0,0,0
Kidney,0,79,0,0.245,0.494,0.258,0,0,0
Kidney,0,80,0,0.232,0.531,0.235,0,0,0
Blood,0,81,0,0.766,0.243,0.0225,0,0,0
Blood,0,82,0,0.686,0.332,0.029,0,0,0
Blood,0,83,0,0.712,0.283,0.0465,0,0,0
Blood,0,84,0,0.726,0.281,0.0341,0,0,0
Blood,0,85,0,0.794,0.213,0.0243,0,0,0
Kidney,0,81,0,0.412,0.403,0.183,0,0,0
Kidney,0,82,0,0.261,0.53,0.208,0,0,0
Kidney,0,83,0,0.422,0.319,0.257,0,0,0
Kidney,0,84,0,0.329,0.478,0.19,0,0,0
Kidney,0,85,0,0.395,0.409,0.191,0,0,0
Blood,0,86,0,0.853,0.106,0.0399,0,0,0
Blood,0,87,0,0.834,0.123,0.0407,0,0,0
Blood,0,88,0,0.675,0.255,0.0628,0,0,0
Kidney,0,86,0,0.359,0.381,0.258,0,0,0
Kidney,0,87,0,0.576,0.305,0.115,0,0,0
Kidney,0,88,0,0.452,0.231,0.313,0,0,0
Blood,0,89,0,0.895,0.0676,0.0344,0,0,0
Blood,0,90,0,0.889,0.0788,0.0291,0,0,0
Blood,0,91,0,0.9,0.061,0.0377,0,0,0
Kidney,0,89,0,0.247,0.574,0.178,0,0,0
Kidney,0,90,0,0.505,0.315,0.182,0,0,0
Kidney,0,91,0,0.569,0.225,0.205,0,0,0
Blood,0,92,0,0.838,0.102,0.0685,0,0,0
Blood,0,93,0,0.814,0.101,0.093,0,0,0
Blood,0,94,0,0.858,0.121,0.0241,0,0,0
Blood,0,95,0,0.918,0.0527,0.0337,0,0,0
Kidney,0,92,0,0.106,0.697,0.21,0,0,0
Kidney,0,93,0,0.209,0.502,0.301,0,0,0
Kidney,0,94,0,0.206,0.633,0.173,0,0,0
